list_id,title,stage,edition,grade,volume,status,ordinal,unit,word_id,word,original_word,meaning,phonetic,uk_phonetic,us_phonetic,meaning_source,phonetic_source,meaning_issue,phonetic_issue
ChuZhongluan_2,中考必备词汇,初中,,,,exam_reference,134,,770612,Rusia,Rusia,鲁西亚（地名）,,,,kajweb,kajweb,,missing_phonetic
ChuZhongluan_2,中考必备词汇,初中,,,,exam_reference,233,,770615,VCD,VCD,abbr. 视频高密光盘（Video Compact Disc）；可变电容二极管（Variable Capacitance Diode）,,,,kajweb,kajweb,,missing_phonetic
ChuZhongluan_2,中考必备词汇,初中,,,,exam_reference,469,,770617,Miss,Miss,n. 女士，小姐，年轻未婚女子,,,,kajweb,kajweb,,missing_phonetic
PEPXiaoXue4_1,人教版小学英语-四年级上册,小学,人教版（主编：吴欣）,4,上册,legacy_unverified,7,,770626,teacher's desk,teacher's desk,讲台,,,,kajweb,kajweb,,missing_phonetic
PEPXiaoXue4_1,人教版小学英语-四年级上册,小学,人教版（主编：吴欣）,4,上册,legacy_unverified,18,,770627,maths book,maths book,数学书,,,,kajweb,kajweb,,missing_phonetic
PEPXiaoXue4_1,人教版小学英语-四年级上册,小学,人教版（主编：吴欣）,4,上册,legacy_unverified,19,,770628,English book,English book,英语书,,,,kajweb,kajweb,,missing_phonetic
PEPXiaoXue4_1,人教版小学英语-四年级上册,小学,人教版（主编：吴欣）,4,上册,legacy_unverified,28,,644240,so much,so much,非常地,,,,kajweb,ecdict,,missing_phonetic
PEPXiaoXue4_1,人教版小学英语-四年级上册,小学,人教版（主编：吴欣）,4,上册,legacy_unverified,65,,319349,help yourself,help yourself,为（自己）取用,,,,kajweb,ecdict,,missing_phonetic
PEPXiaoXue4_1,人教版小学英语-四年级上册,小学,人教版（主编：吴欣）,4,上册,legacy_unverified,72,,770630,baby brother,baby brother,小弟弟,,,,kajweb,kajweb,,missing_phonetic
PEPXiaoXue4_2,人教版小学英语-四年级下册,小学,人教版（主编：吴欣）,4,下册,legacy_unverified,2,,619797,second floor,second floor,二楼,,,,kajweb,ecdict,,missing_phonetic
PEPXiaoXue4_2,人教版小学英语-四年级下册,小学,人教版（主编：吴欣）,4,下册,legacy_unverified,3,,770631,teacher's office,teacher's office,教师办公室,,,,kajweb,kajweb,,missing_phonetic
PEPXiaoXue4_2,人教版小学英语-四年级下册,小学,人教版（主编：吴欣）,4,下册,legacy_unverified,6,,153709,computer room,computer room,计算机房,,,,kajweb,ecdict,,missing_phonetic
PEPXiaoXue4_2,人教版小学英语-四年级下册,小学,人教版（主编：吴欣）,4,下册,legacy_unverified,8,,770633,music room,music room,音乐教室,,,,kajweb,kajweb,,missing_phonetic
PEPXiaoXue4_2,人教版小学英语-四年级下册,小学,人教版（主编：吴欣）,4,下册,legacy_unverified,9,,471154,next to,next to,紧邻,,,,kajweb,ecdict,,missing_phonetic
PEPXiaoXue4_2,人教版小学英语-四年级下册,小学,人教版（主编：吴欣）,4,下册,legacy_unverified,15,,770634,English class,English class,英语课,,,,kajweb,kajweb,,missing_phonetic
PEPXiaoXue4_2,人教版小学英语-四年级下册,小学,人教版（主编：吴欣）,4,下册,legacy_unverified,17,,770635,music class,music class,音乐课,,,,kajweb,kajweb,,missing_phonetic
PEPXiaoXue4_2,人教版小学英语-四年级下册,小学,人教版（主编：吴欣）,4,下册,legacy_unverified,18,,770636,PE class,PE class,体育课,,,,kajweb,kajweb,,missing_phonetic
PEPXiaoXue4_2,人教版小学英语-四年级下册,小学,人教版（主编：吴欣）,4,下册,legacy_unverified,20,,292856,get up,get up,起床,,,,kajweb,ecdict,,missing_phonetic
PEPXiaoXue4_2,人教版小学英语-四年级下册,小学,人教版（主编：吴欣）,4,下册,legacy_unverified,21,,298470,go to school,go to school,上学,,,,kajweb,ecdict,,missing_phonetic
PEPXiaoXue4_2,人教版小学英语-四年级下册,小学,人教版（主编：吴欣）,4,下册,legacy_unverified,22,,298147,go home,go home,回家,,,,kajweb,ecdict,,missing_phonetic
PEPXiaoXue4_2,人教版小学英语-四年级下册,小学,人教版（主编：吴欣）,4,下册,legacy_unverified,23,,298425,go to bed,go to bed,去睡觉,,,,kajweb,ecdict,,missing_phonetic
PEPXiaoXue4_2,人教版小学英语-四年级下册,小学,人教版（主编：吴欣）,4,下册,legacy_unverified,30,,149080,come on,come on,加油,,,,kajweb,ecdict,,missing_phonetic
PEPXiaoXue4_2,人教版小学英语-四年级下册,小学,人教版（主编：吴欣）,4,下册,legacy_unverified,31,,374168,just a minute,just a minute,稍等一会儿,,,,kajweb,ecdict,,missing_phonetic
PEPXiaoXue4_2,人教版小学英语-四年级下册,小学,人教版（主编：吴欣）,4,下册,legacy_unverified,42,,770637,be careful,be careful,小心,,,,kajweb,kajweb,,missing_phonetic
PEPXiaoXue4_2,人教版小学英语-四年级下册,小学,人教版（主编：吴欣）,4,下册,legacy_unverified,45,,770638,how about...,how about...,怎么样？,,,,kajweb,kajweb,,missing_phonetic
PEPXiaoXue4_2,人教版小学英语-四年级下册,小学,人教版（主编：吴欣）,4,下册,legacy_unverified,56,,770640,green beans,green beans,豆角,,,,kajweb,kajweb,,missing_phonetic
PEPXiaoXue4_2,人教版小学英语-四年级下册,小学,人教版（主编：吴欣）,4,下册,legacy_unverified,94,,719594,try on,try on,试穿,,,,kajweb,ecdict,,missing_phonetic
PEPXiaoXue4_2,人教版小学英语-四年级下册,小学,人教版（主编：吴欣）,4,下册,legacy_unverified,96,,485799,of course,of course,当然,,,,kajweb,ecdict,,missing_phonetic
PEPXiaoXue5_1,人教版小学英语-五年级上册,小学,人教版（主编：吴欣）,5,上册,legacy_unverified,29,,770642,wash my clothes,wash my clothes,洗我的衣服,,,,kajweb,kajweb,,missing_phonetic
PEPXiaoXue5_1,人教版小学英语-五年级上册,小学,人教版（主编：吴欣）,5,上册,legacy_unverified,31,,770643,watch TV,watch TV,看电视,,,,kajweb,kajweb,,missing_phonetic
PEPXiaoXue5_1,人教版小学英语-五年级上册,小学,人教版（主编：吴欣）,5,上册,legacy_unverified,33,,208797,do homework,do homework,做作业,,,,kajweb,ecdict,,missing_phonetic
PEPXiaoXue5_1,人教版小学英语-五年级上册,小学,人教版（主编：吴欣）,5,上册,legacy_unverified,35,,770644,read books,read books,看书,,,,kajweb,kajweb,,missing_phonetic
PEPXiaoXue5_1,人教版小学英语-五年级上册,小学,人教版（主编：吴欣）,5,上册,legacy_unverified,43,,770646,play sports,play sports,做体育运动,,,,kajweb,kajweb,,missing_phonetic
PEPXiaoXue5_1,人教版小学英语-五年级上册,小学,人教版（主编：吴欣）,5,上册,legacy_unverified,66,,770648,sing English songs,sing English songs,唱英文歌曲,,,,kajweb,kajweb,,missing_phonetic
PEPXiaoXue5_1,人教版小学英语-五年级上册,小学,人教版（主编：吴欣）,5,上册,legacy_unverified,67,,770649,play the pipa,play the pipa,弹琵琶,,,,kajweb,kajweb,,missing_phonetic
PEPXiaoXue5_1,人教版小学英语-五年级上册,小学,人教版（主编：吴欣）,5,上册,legacy_unverified,69,,770650,do kung fu,do kung fu,练武术,,,,kajweb,kajweb,,missing_phonetic
PEPXiaoXue5_1,人教版小学英语-五年级上册,小学,人教版（主编：吴欣）,5,上册,legacy_unverified,73,,770651,draw cartoons,draw cartoons,画漫画,,,,kajweb,kajweb,,missing_phonetic
PEPXiaoXue5_1,人教版小学英语-五年级上册,小学,人教版（主编：吴欣）,5,上册,legacy_unverified,76,,770652,play basketball,play basketball,打篮球,,,,kajweb,kajweb,,missing_phonetic
PEPXiaoXue5_1,人教版小学英语-五年级上册,小学,人教版（主编：吴欣）,5,上册,legacy_unverified,78,,770653,play ping-pong,play ping-pong,打乒乓球,,,,kajweb,kajweb,,missing_phonetic
PEPXiaoXue5_1,人教版小学英语-五年级上册,小学,人教版（主编：吴欣）,5,上册,legacy_unverified,79,,770654,speak English,speak English,说英语,,,,kajweb,kajweb,,missing_phonetic
PEPXiaoXue5_1,人教版小学英语-五年级上册,小学,人教版（主编：吴欣）,5,上册,legacy_unverified,95,,751782,water bottle,water bottle,水瓶,,,,kajweb,ecdict,,missing_phonetic
PEPXiaoXue5_1,人教版小学英语-五年级上册,小学,人教版（主编：吴欣）,5,上册,legacy_unverified,109,,408950,lots of,lots of,大量,,,,kajweb,ecdict,,missing_phonetic
PEPXiaoXue5_1,人教版小学英语-五年级上册,小学,人教版（主编：吴欣）,5,上册,legacy_unverified,128,,770656,go boating,go boating,去划船,,,,kajweb,kajweb,,missing_phonetic
PEPXiaoXue5_2,人教版小学英语-五年级下册,小学,人教版（主编：吴欣）,5,下册,legacy_unverified,2,,770658,have...class,have...class,上⋯⋯课,,,,kajweb,kajweb,,missing_phonetic
